sample_id,dataset,difficulty,request,gold_action,gold_arguments,action_name,action_arguments,action_valid,action_correct,action_error_type,action_error_message,estimated_prompt_tokens,seq_len_prompt_tokens,prompt_token_source,runner_prompt_tokens,target_output_tokens,seq_len,generated_tokens,decode_tokens_per_second,ttft_ms,inference_ms,model_load_ms,returncode,output_path,log_path,error
w3v2_011,tiny_schema_v2,hard,"Search the app store for weather apps, including paid ones. I first thought ten results, but use four, and change the search phrase to radar weather.",search_app_store,"{""app_query"": ""radar weather"", ""free_only"": false, ""max_results"": 4}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),642,756,previous_runner_observation,756,96,853,60,20.2977,1687,4643,1033,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_011/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_011.log,
w3v2_012,tiny_schema_v2,medium,Locate the Continue button on the current screen and consider only elements that are visible.,find_ui_element,"{""description"": ""Continue button"", ""visible_only"": true}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),628,742,previous_runner_observation,742,96,839,27,20.2855,1594,2925,1011,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_012/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_012.log,
w3v2_013,tiny_schema_v2,medium,Double-click the item whose element id is result_42.,click_element,"{""click_count"": 2, ""element_id"": ""result_42""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),623,738,previous_runner_observation,738,96,835,18,21.2014,1689,2538,1051,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_013/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_013.log,
w3v2_014,tiny_schema_v2,hard,"Click confirm_old once—wait, the correct element id is confirm_new. Use a single click.",click_element,"{""click_count"": 1, ""element_id"": ""confirm_new""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),631,747,previous_runner_observation,747,96,844,19,20.3426,1552,2486,974,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_014/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_014.log,
w3v2_015,tiny_schema_v2,medium,"Clear whatever is currently in the field, then enter the text meeting moved to room 302.",type_text,"{""replace_existing"": true, ""text"": ""meeting moved to room 302""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),630,744,previous_runner_observation,744,96,841,29,20.3224,1613,3040,1039,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_015/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_015.log,
w3v2_016,tiny_schema_v2,hard,"Without clearing the existing content, type shipping address—no, make the new text billing address.",type_text,"{""replace_existing"": false, ""text"": ""billing address""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),630,744,previous_runner_observation,744,96,841,31,20.4756,1685,3199,1072,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_016/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_016.log,
w3v2_017,tiny_schema_v2,hard,"Wake me at half past seven every weekday, call the alarm Morning run, and do not use vibration.",set_alarm,"{""label"": ""Morning run"", ""repeat_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time"": ""07:30"", ""vibrate"": false}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 34 (char 33)",632,746,previous_runner_observation,746,96,843,96,21.8928,1556,5941,989,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_017/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_017.log,
w3v2_018,tiny_schema_v2,hard,"With vibration enabled, create a Yoga alarm for quarter to nine in the morning on Saturdays and Sundays.",set_alarm,"{""label"": ""Yoga"", ""repeat_days"": [""Sat"", ""Sun""], ""time"": ""08:45"", ""vibrate"": true}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),631,745,previous_runner_observation,745,96,842,60,20.4429,1683,4618,1025,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_018/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_018.log,
w3v2_019,tiny_schema_v2,hard,"Set a one-time alarm labeled Airport for 06:30, then change the time to 06:45; leave vibration on.",set_alarm,"{""label"": ""Airport"", ""repeat_days"": [], ""time"": ""06:45"", ""vibrate"": true}",set_alarms_alarms,"{""label"": ""Airport"", ""time"": ""06:30"", ""vibrate"": ""true""}",False,False,wrong_action_type,"expected action=set_alarm, got=set_alarms_alarms; unknown action: set_alarms_alarms",638,753,previous_runner_observation,753,96,850,28,20.3341,1682,3059,1028,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_019/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_019.log,
w3v2_020,tiny_schema_v2,medium,Start a five-minute timer called Kitchen tea and let it play a sound when it finishes.,set_timer,"{""duration_seconds"": 300, ""label"": ""Kitchen tea"", ""sound"": true}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),629,744,previous_runner_observation,744,96,841,46,20.4354,1681,3932,1011,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_020/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_020.log,
w3v2_021,tiny_schema_v2,hard,"Make a silent Stretch timer for ninety seconds—actually, give me two minutes instead.",set_timer,"{""duration_seconds"": 120, ""label"": ""Stretch"", ""sound"": false}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),628,742,previous_runner_observation,742,96,839,96,21.7638,1677,6088,1032,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_021/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_021.log,
w3v2_022,tiny_schema_v2,hard,"Arrange an online Project review with Alice and Bob at 2026-08-01 14:00, lasting three quarters of an hour.",add_calendar_event,"{""attendees"": [""Alice"", ""Bob""], ""duration_minutes"": 45, ""online"": true, ""start_time"": ""2026-08-01 14:00"", ""title"": ""Project review""}",NA,NA,False,False,parse_error,invalid JSON document: Unterminated string starting at: line 1 column 11 (char 10),640,754,previous_runner_observation,754,96,851,96,20.5084,1655,6336,958,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_022/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_022.log,
w3v2_023,tiny_schema_v2,medium,"My inbox can wait. At 2026-08-03 09:15, add an in-person Dentist appointment lasting thirty minutes with Dr. Lee.",add_calendar_event,"{""attendees"": [""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""Dentist appointment""}",add_calendar_event,"{""attendees"": ["""", ""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""In-Person Dentist Appointment""}",True,False,wrong_argument,"expected arguments={""attendees"": [""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""Dentist appointment""}, got={""attendees"": ["""", ""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""In-Person Dentist Appointment""}",644,759,previous_runner_observation,759,96,856,54,20.7692,1562,4162,947,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_023/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_023.log,
w3v2_024,tiny_schema_v2,hard,Schedule an online Budget review with Alice and Bob at 2026-08-10 14:00 for sixty minutes—correction: start at 14:30 and make it forty-five minutes.,add_calendar_event,"{""attendees"": [""Alice"", ""Bob""], ""duration_minutes"": 45, ""online"": true, ""start_time"": ""2026-08-10 14:30"", ""title"": ""Budget review""}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 34 (char 33)",652,767,previous_runner_observation,767,96,864,96,21.5924,1552,5998,996,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_024/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_024.log,
w3v2_025,tiny_schema_v2,medium,This is urgent: send Alice the message Server is back online.,send_message,"{""contact"": ""Alice"", ""text"": ""Server is back online"", ""urgent"": true}",send_essage,"{""contact"": ""Alice"", ""text"": ""Server is back online""}",False,False,wrong_action_type,"expected action=send_message, got=send_essage; unknown action: send_essage",624,738,previous_runner_observation,738,96,835,20,20.6186,1691,2661,1021,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_025/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_025.log,
w3v2_026,tiny_schema_v2,hard,"Send Chen a non-urgent message saying I will arrive at six—sorry, send it to Bob and say I will arrive at seven.",send_message,"{""contact"": ""Bob"", ""text"": ""I will arrive at seven"", ""urgent"": false}",send_email,"{""body"": ""I will arrive at six—sorry, send it to Bob and say I will arrive at seven"", ""recipient"": ""Chen"", ""subject"": ""Arrival Update"", ""text"": ""I will arrive at seven""}",False,False,wrong_action_type,"expected action=send_message, got=send_email",639,753,previous_runner_observation,753,96,850,50,20.475,1557,3999,974,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_026/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_026.log,
w3v2_027,tiny_schema_v2,medium,Mark it high priority and email report@example.com with subject Weekly report and body The draft is attached.,send_email,"{""body"": ""The draft is attached"", ""high_priority"": true, ""recipient"": ""report@example.com"", ""subject"": ""Weekly report""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),631,747,previous_runner_observation,747,96,844,36,20.7016,1690,3429,1041,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_027/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_027.log,
w3v2_028,tiny_schema_v2,hard,"Email old@example.com, but replace the recipient with team@example.com. Use subject Room change, body Meet in room 302, and normal priority.",send_email,"{""body"": ""Meet in room 302"", ""high_priority"": false, ""recipient"": ""team@example.com"", ""subject"": ""Room change""}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 23 (char 22)",641,759,previous_runner_observation,759,96,856,30,23.5664,1632,2905,1049,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_028/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_028.log,
w3v2_029,tiny_schema_v2,hard,"Although I was reading my calendar, search the web instead for nearest train station. Disable Safe Search and give me eight results.",search_web,"{""query"": ""nearest train station"", ""result_limit"": 8, ""safe_search"": false}",search_web,"{""query"": ""nearest train station"", ""result_limit"": 8, ""safe_search"": false}",True,True,none,,636,750,previous_runner_observation,750,96,847,25,20.2758,1677,2910,1098,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_029/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_029.log,
w3v2_030,tiny_schema_v2,hard,"Do not click anything; just locate the Settings icon, including elements that are currently hidden.",find_ui_element,"{""description"": ""Settings icon"", ""visible_only"": false}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),629,743,previous_runner_observation,743,96,840,11,20.1465,1680,2226,1044,0,/home/lyyyy/pace/results/w3/bitnet/runner_outputs/w3v2_030/output.txt,/home/lyyyy/pace/results/w3/bitnet/raw_runner_logs/w3v2_030.log,
