sample_id,dataset,difficulty,request,gold_action,gold_arguments,action_name,action_arguments,action_valid,action_correct,action_error_type,action_error_message,estimated_prompt_tokens,runner_prompt_tokens,target_output_tokens,seq_len,generated_tokens,decode_tokens_per_second,ttft_ms,inference_ms,model_load_ms,returncode,output_path,log_path,error
w3v2_019,tiny_schema_v2,hard,"Set a one-time alarm labeled Airport for 06:30, then change the time to 06:45; leave vibration on.",set_alarm,"{""label"": ""Airport"", ""repeat_days"": [], ""time"": ""06:45"", ""vibrate"": true}",set_alarms_alarms,"{""label"": ""Airport"", ""time"": ""06:30"", ""vibrate"": ""true""}",False,False,wrong_action_type,"expected action=set_alarm, got=set_alarms_alarms; unknown action: set_alarms_alarms",638,753,383,1024,28,21.8579,1545,2826,976,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_019/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_019/run.log,
w3v2_020,tiny_schema_v2,medium,Start a five-minute timer called Kitchen tea and let it play a sound when it finishes.,set_timer,"{""duration_seconds"": 300, ""label"": ""Kitchen tea"", ""sound"": true}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),629,744,392,1024,46,24.9864,1549,3390,984,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_020/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_020/run.log,
w3v2_021,tiny_schema_v2,hard,"Make a silent Stretch timer for ninety seconds—actually, give me two minutes instead.",set_timer,"{""duration_seconds"": 120, ""label"": ""Stretch"", ""sound"": false}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),628,742,393,1024,281,22.1556,1537,14220,1073,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_021/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_021/run.log,
w3v2_022,tiny_schema_v2,hard,"Arrange an online Project review with Alice and Bob at 2026-08-01 14:00, lasting three quarters of an hour.",add_calendar_event,"{""attendees"": [""Alice"", ""Bob""], ""duration_minutes"": 45, ""online"": true, ""start_time"": ""2026-08-01 14:00"", ""title"": ""Project review""}",NA,NA,False,False,parse_error,invalid JSON document: Unterminated string starting at: line 1 column 11 (char 10),640,754,381,1024,269,22.7311,1532,13366,1037,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_022/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_022/run.log,
w3v2_023,tiny_schema_v2,medium,"My inbox can wait. At 2026-08-03 09:15, add an in-person Dentist appointment lasting thirty minutes with Dr. Lee.",add_calendar_event,"{""attendees"": [""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""Dentist appointment""}",add_calendar_event,"{""attendees"": ["""", ""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""In-Person Dentist Appointment""}",True,False,wrong_argument,"expected arguments={""attendees"": [""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""Dentist appointment""}, got={""attendees"": ["""", ""Dr. Lee""], ""duration_minutes"": 30, ""online"": false, ""start_time"": ""2026-08-03 09:15"", ""title"": ""In-Person Dentist Appointment""}",644,759,377,1024,54,21.8712,1533,4002,982,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_023/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_023/run.log,
w3v2_024,tiny_schema_v2,hard,Schedule an online Budget review with Alice and Bob at 2026-08-10 14:00 for sixty minutes—correction: start at 14:30 and make it forty-five minutes.,add_calendar_event,"{""attendees"": [""Alice"", ""Bob""], ""duration_minutes"": 45, ""online"": true, ""start_time"": ""2026-08-10 14:30"", ""title"": ""Budget review""}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 34 (char 33)",652,767,369,1024,119,22.0656,1556,6949,978,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_024/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_024/run.log,
w3v2_025,tiny_schema_v2,medium,This is urgent: send Alice the message Server is back online.,send_message,"{""contact"": ""Alice"", ""text"": ""Server is back online"", ""urgent"": true}",send_essage,"{""contact"": ""Alice"", ""text"": ""Server is back online""}",False,False,wrong_action_type,"expected action=send_message, got=send_essage; unknown action: send_essage",624,738,397,1024,20,21.9058,1564,2477,975,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_025/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_025/run.log,
w3v2_026,tiny_schema_v2,hard,"Send Chen a non-urgent message saying I will arrive at six—sorry, send it to Bob and say I will arrive at seven.",send_message,"{""contact"": ""Bob"", ""text"": ""I will arrive at seven"", ""urgent"": false}",send_email,"{""body"": ""I will arrive at six—sorry, send it to Bob and say I will arrive at seven"", ""recipient"": ""Chen"", ""subject"": ""Arrival Update"", ""text"": ""I will arrive at seven""}",False,False,wrong_action_type,"expected action=send_message, got=send_email",639,753,382,1024,50,22.2321,1492,3741,980,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_026/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_026/run.log,
w3v2_027,tiny_schema_v2,medium,Mark it high priority and email report@example.com with subject Weekly report and body The draft is attached.,send_email,"{""body"": ""The draft is attached"", ""high_priority"": true, ""recipient"": ""report@example.com"", ""subject"": ""Weekly report""}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),631,747,390,1024,36,21.978,1552,3190,982,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_027/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_027/run.log,
w3v2_028,tiny_schema_v2,hard,"Email old@example.com, but replace the recipient with team@example.com. Use subject Room change, body Meet in room 302, and normal priority.",send_email,"{""body"": ""Meet in room 302"", ""high_priority"": false, ""recipient"": ""team@example.com"", ""subject"": ""Room change""}",NA,NA,False,False,parse_error,"invalid JSON document: Expecting ',' delimiter: line 1 column 23 (char 22)",641,759,380,1024,30,21.9619,1527,2893,974,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_028/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_028/run.log,
w3v2_029,tiny_schema_v2,hard,"Although I was reading my calendar, search the web instead for nearest train station. Disable Safe Search and give me eight results.",search_web,"{""query"": ""nearest train station"", ""result_limit"": 8, ""safe_search"": false}",search_web,"{""query"": ""nearest train station"", ""result_limit"": 8, ""safe_search"": false}",True,True,none,,636,750,385,1024,25,21.7581,1564,2713,999,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_029/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_029/run.log,
w3v2_030,tiny_schema_v2,hard,"Do not click anything; just locate the Settings icon, including elements that are currently hidden.",find_ui_element,"{""description"": ""Settings icon"", ""visible_only"": false}",NA,NA,False,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0),629,743,392,1024,11,22,1563,2063,1024,0,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_030/output.txt,/home/lyyyy/bitnet_qnn_artifacts_hybrid_1024/results/w3_full_maxseq_1024_20260731/w3v2_030/run.log,
